% Model:              Simulação_oficial_V1.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 29 2025, 20:22
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               2.2267799369329935E-14
0                                                 305                                               2.2302034411921443E-14
0                                                 310                                               2.2362084306819702E-14
0                                                 315                                               2.239119991633116E-14
0                                                 320                                               2.2413159874557E-14
0                                                 325                                               2.263983156673982E-14
0                                                 330                                               2.288889362137685E-14
0                                                 335                                               2.3008827161885382E-14
0                                                 340                                               2.3070180126345104E-14
0                                                 345                                               2.309720109575655E-14
0                                                 350                                               2.3089528890901015E-14
0                                                 355                                               2.309559652716861E-14
0                                                 360                                               2.3186631562913368E-14
0                                                 365                                               2.3278548384870003E-14
0                                                 370                                               2.3370344058537187E-14
0                                                 375                                               2.3461853531205668E-14
0                                                 380                                               2.3554541266023964E-14
0                                                 385                                               2.359487973942655E-14
0                                                 390                                               2.3611527251606923E-14
0                                                 395                                               2.3627120537550297E-14
0                                                 400                                               2.3668994882034342E-14
0                                                 405                                               2.3735464189406467E-14
0                                                 410                                               2.3801477822512603E-14
0                                                 415                                               2.386720591468104E-14
0                                                 420                                               2.3932568353756166E-14
0                                                 425                                               2.3997188086839055E-14
0                                                 430                                               2.406109264940468E-14
0                                                 435                                               2.4234394147451472E-14
0                                                 440                                               2.4421294894787234E-14
0                                                 445                                               2.4609674236388693E-14
0                                                 450                                               2.479953695469945E-14
0                                                 455                                               2.4991154785244988E-14
0                                                 460                                               2.518359821371147E-14
0                                                 465                                               2.5376740744629902E-14
0                                                 470                                               2.557058880032832E-14
0                                                 475                                               2.602670040222199E-14
0                                                 480                                               2.6603610578582175E-14
0                                                 485                                               2.7204142873109536E-14
0                                                 490                                               2.7830311382820813E-14
0                                                 495                                               2.848454784145971E-14
0                                                 500                                               2.948986168415243E-14
0                                                 505                                               3.066180348067861E-14
0                                                 510                                               3.1951549163623715E-14
0                                                 515                                               3.337900165182848E-14
0                                                 520                                               3.4970575753694324E-14
0                                                 525                                               3.59737898437299E-14
0                                                 530                                               3.6892710501245866E-14
0                                                 535                                               3.790018752174569E-14
0                                                 540                                               3.900552457711472E-14
0                                                 545                                               4.0211556400860676E-14
0                                                 550                                               4.140216305516385E-14
0                                                 555                                               4.236568159398698E-14
0                                                 560                                               4.338414893820883E-14
0                                                 565                                               4.447014997354002E-14
0                                                 570                                               4.562936135731197E-14
0                                                 575                                               4.686815819916467E-14
0                                                 580                                               4.8229032804480204E-14
0                                                 585                                               4.959354959690192E-14
0                                                 590                                               5.111281465327214E-14
0                                                 595                                               5.301639017543783E-14
0                                                 600                                               5.537039692132171E-14
0                                                 605                                               5.820869639793972E-14
0                                                 610                                               6.145410681793194E-14
0                                                 615                                               6.488813774527524E-14
0                                                 620                                               6.776544973527896E-14
0                                                 625                                               6.995778614777146E-14
0                                                 630                                               7.149555621853977E-14
0                                                 635                                               7.245850467072037E-14
0                                                 640                                               7.320408323898749E-14
