% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 17 2025, 13:26
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               8.641929713381605E-15
0                                                 305                                               8.680930778111999E-15
0                                                 310                                               8.718539881797214E-15
0                                                 315                                               8.743497460828582E-15
0                                                 320                                               8.76249285783158E-15
0                                                 325                                               8.830469010338512E-15
0                                                 330                                               8.903313838482957E-15
0                                                 335                                               8.94251249698084E-15
0                                                 340                                               8.965058214531588E-15
0                                                 345                                               8.976779098628978E-15
0                                                 350                                               8.977727245386269E-15
0                                                 355                                               8.980761714925477E-15
0                                                 360                                               9.003610669940575E-15
0                                                 365                                               9.026575041714476E-15
0                                                 370                                               9.049192589655222E-15
0                                                 375                                               9.071404260563112E-15
0                                                 380                                               9.093946098753063E-15
0                                                 385                                               9.10289502245994E-15
0                                                 390                                               9.105471973030412E-15
0                                                 395                                               9.10756130905872E-15
0                                                 400                                               9.116926873508913E-15
0                                                 405                                               9.133123524153385E-15
0                                                 410                                               9.149088081114707E-15
0                                                 415                                               9.165030618046112E-15
0                                                 420                                               9.181062333008887E-15
0                                                 425                                               9.196802277595646E-15
0                                                 430                                               9.212273485816078E-15
0                                                 435                                               9.258825828291319E-15
0                                                 440                                               9.309498867285323E-15
0                                                 445                                               9.360871487776725E-15
0                                                 450                                               9.412957931763956E-15
0                                                 455                                               9.466560799796066E-15
0                                                 460                                               9.52099769277718E-15
0                                                 465                                               9.576112430317773E-15
0                                                 470                                               9.631931153969654E-15
0                                                 475                                               9.764659846635686E-15
0                                                 480                                               9.934737023992945E-15
0                                                 485                                               1.0114358249559025E-14
0                                                 490                                               1.0304401568788449E-14
0                                                 495                                               1.0505905422481002E-14
0                                                 500                                               1.080759648308135E-14
0                                                 505                                               1.116312421896612E-14
0                                                 510                                               1.1563233139575967E-14
0                                                 515                                               1.2019416014187327E-14
0                                                 520                                               1.2548519546522082E-14
0                                                 525                                               1.2882325071243935E-14
0                                                 530                                               1.3196914696403746E-14
0                                                 535                                               1.3558070737207336E-14
0                                                 540                                               1.3973867493419326E-14
0                                                 545                                               1.4450566429701686E-14
0                                                 550                                               1.4936217421095864E-14
0                                                 555                                               1.5307143455766398E-14
0                                                 560                                               1.5658995641030303E-14
0                                                 565                                               1.5953571669520363E-14
0                                                 570                                               1.6146189755813046E-14
0                                                 575                                               1.6203921189168262E-14
0                                                 580                                               1.61293231015089E-14
0                                                 585                                               1.5914610859838537E-14
0                                                 590                                               1.5707033518967862E-14
0                                                 595                                               1.5642819676316288E-14
0                                                 600                                               1.5789163049766127E-14
0                                                 605                                               1.619483926001276E-14
0                                                 610                                               1.685569203181111E-14
0                                                 615                                               1.7661843934506007E-14
0                                                 620                                               1.8352359881813774E-14
0                                                 625                                               1.8951100894053618E-14
0                                                 630                                               1.963409621265201E-14
0                                                 635                                               2.0578627477589008E-14
0                                                 640                                               2.1846894363014724E-14
0                                                 645                                               2.3400710304662387E-14
0                                                 650                                               2.5237297967601854E-14
0                                                 655                                               2.7261061572487618E-14
0                                                 660                                               2.9174151767405934E-14
0                                                 665                                               3.0652031490018143E-14
0                                                 670                                               3.257937570538899E-14
0                                                 675                                               3.5285417845049037E-14
0                                                 680                                               3.8867705328997936E-14
0                                                 685                                               4.318728597230312E-14
0                                                 690                                               4.776434080595149E-14
0                                                 695                                               5.1587973661425604E-14
0                                                 700                                               5.3260412509797283E-14
0                                                 705                                               5.1891444085114254E-14
0                                                 710                                               4.794665323949466E-14
0                                                 715                                               4.314499173116269E-14
0                                                 720                                               3.8411658080241254E-14
0                                                 725                                               3.41774741013512E-14
0                                                 730                                               3.0550629784228493E-14
0                                                 735                                               2.7495388736021068E-14
0                                                 740                                               2.4930586167317082E-14
0                                                 745                                               2.2771235908009335E-14
0                                                 750                                               2.094274835293419E-14
0                                                 755                                               1.9383867653328682E-14
0                                                 760                                               1.8065156544769286E-14
0                                                 765                                               1.6927844953466184E-14
0                                                 770                                               1.5936670516961528E-14
0                                                 775                                               1.5067967203947046E-14
0                                                 780                                               1.4302696236918148E-14
0                                                 785                                               1.3625489913737746E-14
0                                                 790                                               1.3023934868712698E-14
0                                                 795                                               1.2487934346545357E-14
0                                                 800                                               1.2009200082337973E-14
15                                                300                                               8.609817171670166E-15
15                                                305                                               8.653208691300143E-15
15                                                310                                               8.693847771290673E-15
15                                                315                                               8.722122450068922E-15
15                                                320                                               8.744212471051943E-15
15                                                325                                               8.810360431063271E-15
15                                                330                                               8.880588835051517E-15
15                                                335                                               8.920484129909066E-15
15                                                340                                               8.94509504572354E-15
15                                                345                                               8.959402913666142E-15
15                                                350                                               8.963499105304888E-15
15                                                355                                               8.968871170934728E-15
15                                                360                                               8.990197788380673E-15
15                                                365                                               9.01157157949456E-15
15                                                370                                               9.032383150181606E-15
15                                                375                                               9.052520088939068E-15
15                                                380                                               9.072930659024848E-15
15                                                385                                               9.081818377718223E-15
15                                                390                                               9.08521209235146E-15
15                                                395                                               9.088091658343249E-15
15                                                400                                               9.097743680719979E-15
15                                                405                                               9.113749814403971E-15
15                                                410                                               9.129488225920192E-15
15                                                415                                               9.145350424125383E-15
15                                                420                                               9.161614375425355E-15
15                                                425                                               9.17755192363034E-15
15                                                430                                               9.193188346343494E-15
15                                                435                                               9.237535376877844E-15
15                                                440                                               9.285675676330192E-15
15                                                445                                               9.334450235764939E-15
15                                                450                                               9.383877398002569E-15
15                                                455                                               9.435372516121334E-15
15                                                460                                               9.487783748532577E-15
15                                                465                                               9.540828641702184E-15
15                                                470                                               9.594540819641936E-15
15                                                475                                               9.717931717540113E-15
15                                                480                                               9.875607232385853E-15
15                                                485                                               1.0042527232775615E-14
15                                                490                                               1.0219574762101367E-14
15                                                495                                               1.0407798275599255E-14
15                                                500                                               1.0682795274071273E-14
15                                                505                                               1.1004871287325131E-14
15                                                510                                               1.1365600130088168E-14
15                                                515                                               1.1773707951408689E-14
15                                                520                                               1.2241633040630664E-14
15                                                525                                               1.2521364600033977E-14
15                                                530                                               1.2781974889243807E-14
15                                                535                                               1.30864795245511E-14
15                                                540                                               1.3445570563109819E-14
15                                                545                                               1.3869842545161437E-14
15                                                550                                               1.4319585346484435E-14
15                                                555                                               1.468724244725724E-14
15                                                560                                               1.5059899680927565E-14
15                                                565                                               1.5415525912712023E-14
15                                                570                                               1.5728373837147986E-14
15                                                575                                               1.5959737933606398E-14
15                                                580                                               1.6060863818095982E-14
15                                                585                                               1.5945180609008628E-14
15                                                590                                               1.5769196779998468E-14
15                                                595                                               1.572433528723917E-14
15                                                600                                               1.589447938930316E-14
15                                                605                                               1.6346336238401715E-14
15                                                610                                               1.7114897427314423E-14
15                                                615                                               1.814737753598387E-14
15                                                620                                               1.9143412653926278E-14
15                                                625                                               2.007270847783992E-14
15                                                630                                               2.112462539907019E-14
15                                                635                                               2.240781011430587E-14
15                                                640                                               2.3737227757941422E-14
15                                                645                                               2.479848099413419E-14
15                                                650                                               2.570832142457395E-14
15                                                655                                               2.6860589710921167E-14
15                                                660                                               2.8208521013867754E-14
15                                                665                                               2.90466234527478E-14
15                                                670                                               2.975875464331414E-14
15                                                675                                               3.075537754545571E-14
15                                                680                                               3.276129235520026E-14
15                                                685                                               3.607456678787254E-14
15                                                690                                               4.0336945552766375E-14
15                                                695                                               4.460898362539733E-14
15                                                700                                               4.737218321817233E-14
15                                                705                                               4.7218939095900137E-14
15                                                710                                               4.411241179944643E-14
15                                                715                                               3.980889176138177E-14
15                                                720                                               3.539876968575514E-14
15                                                725                                               3.142069689611681E-14
15                                                730                                               2.8023547153417125E-14
15                                                735                                               2.5181465517445092E-14
15                                                740                                               2.2814178010939546E-14
15                                                745                                               2.0836311697665963E-14
15                                                750                                               1.917332710658481E-14
15                                                755                                               1.776464818077477E-14
15                                                760                                               1.6580334057434252E-14
15                                                765                                               1.556480703102494E-14
15                                                770                                               1.4685025142406573E-14
15                                                775                                               1.391919229769241E-14
15                                                780                                               1.3250151055943898E-14
15                                                785                                               1.266415382313701E-14
15                                                790                                               1.2149916460582612E-14
15                                                795                                               1.1698009658587904E-14
15                                                800                                               1.1300497847726953E-14
30                                                300                                               8.475720255509999E-15
30                                                305                                               8.515882838199827E-15
30                                                310                                               8.553825937289439E-15
30                                                315                                               8.57970496802801E-15
30                                                320                                               8.5997180366733E-15
30                                                325                                               8.664341140954475E-15
30                                                330                                               8.733141423710707E-15
30                                                335                                               8.771784616139148E-15
30                                                340                                               8.79533178349221E-15
30                                                345                                               8.80866950997823E-15
30                                                350                                               8.811904594344169E-15
30                                                355                                               8.816369331994517E-15
30                                                360                                               8.835875727598134E-15
30                                                365                                               8.855439106947992E-15
30                                                370                                               8.874347847965257E-15
30                                                375                                               8.892441634760953E-15
30                                                380                                               8.910798067037862E-15
30                                                385                                               8.918298562940364E-15
30                                                390                                               8.920635728367663E-15
30                                                395                                               8.922503191393514E-15
30                                                400                                               8.931195062198458E-15
30                                                405                                               8.946275351867399E-15
30                                                410                                               8.961105270803296E-15
30                                                415                                               8.976201225455917E-15
30                                                420                                               8.991963390224929E-15
30                                                425                                               9.007418699914259E-15
30                                                430                                               9.022591143986036E-15
30                                                435                                               9.066220397125015E-15
30                                                440                                               9.113635148276502E-15
30                                                445                                               9.161709813375146E-15
30                                                450                                               9.210466040000477E-15
30                                                455                                               9.26185840049391E-15
30                                                460                                               9.314349931126834E-15
30                                                465                                               9.367549993823268E-15
30                                                470                                               9.421499289773766E-15
30                                                475                                               9.543302787347766E-15
30                                                480                                               9.698909817669831E-15
30                                                485                                               9.864129178059273E-15
30                                                490                                               1.0039944302596838E-14
30                                                495                                               1.0227523983473847E-14
30                                                500                                               1.0495689661731352E-14
30                                                505                                               1.0808901363425369E-14
30                                                510                                               1.1160160225664559E-14
30                                                515                                               1.1558309725398058E-14
30                                                520                                               1.2015938119339261E-14
30                                                525                                               1.2276597608044065E-14
30                                                530                                               1.2512488078231718E-14
30                                                535                                               1.2786286537293904E-14
30                                                540                                               1.3106777817676314E-14
30                                                545                                               1.3483771549320555E-14
30                                                550                                               1.3883588780532886E-14
30                                                555                                               1.421498580388721E-14
30                                                560                                               1.4566191721338904E-14
30                                                565                                               1.491898750120671E-14
30                                                570                                               1.5246330623925134E-14
30                                                575                                               1.551888051521108E-14
30                                                580                                               1.5729486179499254E-14
30                                                585                                               1.5811267557881315E-14
30                                                590                                               1.5860366585046042E-14
30                                                595                                               1.6005365413123737E-14
30                                                600                                               1.6278237025184734E-14
30                                                605                                               1.6673823351710286E-14
30                                                610                                               1.7135155529072725E-14
30                                                615                                               1.7593958773196846E-14
30                                                620                                               1.8015576237196688E-14
30                                                625                                               1.8480850063406404E-14
30                                                630                                               1.9108193416469532E-14
30                                                635                                               2.0084899254212638E-14
30                                                640                                               2.1611955129170654E-14
30                                                645                                               2.374786137152769E-14
30                                                650                                               2.6290385544899048E-14
30                                                655                                               2.858911840096488E-14
30                                                660                                               2.995203596623468E-14
30                                                665                                               3.0533993890186375E-14
30                                                670                                               3.1841554912922274E-14
30                                                675                                               3.424590806184966E-14
30                                                680                                               3.772513995417913E-14
30                                                685                                               4.1845412151169976E-14
30                                                690                                               4.549483812801321E-14
30                                                695                                               4.6935403766252525E-14
30                                                700                                               4.5111312168842866E-14
30                                                705                                               4.0860401574167114E-14
30                                                710                                               3.592115264717845E-14
30                                                715                                               3.1430871952360525E-14
30                                                720                                               2.764817172955672E-14
30                                                725                                               2.4547669159856995E-14
30                                                730                                               2.2019664830834665E-14
30                                                735                                               1.9949134994037342E-14
