% Model:              Simulação_oficial_V3.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 27 2026, 12:26
% Table:              Table 9 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               8.99495976336146E-15
0                                                 305                                               8.968480780115416E-15
0                                                 310                                               8.954970084036671E-15
0                                                 315                                               8.927681100969883E-15
0                                                 320                                               8.898164140908045E-15
0                                                 325                                               8.969548504029042E-15
0                                                 330                                               9.05496504214395E-15
0                                                 335                                               9.077593263793091E-15
0                                                 340                                               9.07216107113144E-15
0                                                 345                                               9.051103340797114E-15
0                                                 350                                               9.014092726639624E-15
0                                                 355                                               8.985801044765507E-15
0                                                 360                                               9.003949798101142E-15
0                                                 365                                               9.023169380193827E-15
0                                                 370                                               9.043102316647567E-15
0                                                 375                                               9.063600920274998E-15
0                                                 380                                               9.085017309931505E-15
0                                                 385                                               9.079599171924876E-15
0                                                 390                                               9.062526886228976E-15
0                                                 395                                               9.045558061011152E-15
0                                                 400                                               9.042274771792724E-15
0                                                 405                                               9.051823486496848E-15
0                                                 410                                               9.061706986964593E-15
0                                                 415                                               9.071973231148431E-15
0                                                 420                                               9.082656116051826E-15
0                                                 425                                               9.093605886758458E-15
0                                                 430                                               9.104808714851143E-15
0                                                 435                                               9.171581780315512E-15
0                                                 440                                               9.246104159407547E-15
0                                                 445                                               9.322298450846482E-15
0                                                 450                                               9.400166544282139E-15
0                                                 455                                               9.480897098546478E-15
0                                                 460                                               9.563568913048427E-15
0                                                 465                                               9.647934972318921E-15
0                                                 470                                               9.734012274522975E-15
0                                                 475                                               9.95529939560769E-15
0                                                 480                                               1.0242223556305428E-14
0                                                 485                                               1.054611308766361E-14
0                                                 490                                               1.0868611224429461E-14
0                                                 495                                               1.1211661034023024E-14
0                                                 500                                               1.1728497685473876E-14
0                                                 505                                               1.2336103612400315E-14
0                                                 510                                               1.301609801516116E-14
0                                                 515                                               1.3784351702714895E-14
0                                                 520                                               1.4661803417664594E-14
0                                                 525                                               1.5169993383248742E-14
0                                                 530                                               1.561705614910949E-14
0                                                 535                                               1.6116500415964456E-14
0                                                 540                                               1.669004326422881E-14
0                                                 545                                               1.7368598024562386E-14
0                                                 550                                               1.811507214390087E-14
0                                                 555                                               1.8797941945496102E-14
0                                                 560                                               1.9586196158672475E-14
0                                                 565                                               2.0485652925677823E-14
0                                                 570                                               2.1517151234889915E-14
0                                                 575                                               2.2732539932078544E-14
0                                                 580                                               2.4213207725516512E-14
0                                                 585                                               2.5759826032234537E-14
0                                                 590                                               2.7269209741026586E-14
0                                                 595                                               2.875767399700915E-14
0                                                 600                                               3.0100229749913696E-14
0                                                 605                                               3.114739450789493E-14
0                                                 610                                               3.154208391358071E-14
0                                                 615                                               3.0889061089971656E-14
0                                                 620                                               2.935379011802606E-14
0                                                 625                                               2.7465926452771548E-14
0                                                 630                                               2.5517963209548712E-14
0                                                 635                                               2.3716606100910255E-14
0                                                 640                                               2.216818603860656E-14
0                                                 645                                               2.0919871302149092E-14
0                                                 650                                               1.99941012915948E-14
0                                                 655                                               1.9404193598450987E-14
0                                                 660                                               1.914972542521305E-14
0                                                 665                                               1.916790224616394E-14
0                                                 670                                               1.9441951227840993E-14
0                                                 675                                               1.9974994019103137E-14
0                                                 680                                               2.0791541000102696E-14
0                                                 685                                               2.194030374308526E-14
0                                                 690                                               2.3499728459766354E-14
0                                                 695                                               2.5585927631944073E-14
0                                                 700                                               2.835604374171227E-14
0                                                 705                                               3.1945158970466385E-14
0                                                 710                                               3.5994606629788584E-14
0                                                 715                                               4.0326773382109124E-14
0                                                 720                                               4.385677270624141E-14
0                                                 725                                               4.503795894441038E-14
0                                                 730                                               4.314960621144415E-14
0                                                 735                                               3.913030978306706E-14
0                                                 740                                               3.448890409917991E-14
0                                                 745                                               3.016521152451795E-14
0                                                 750                                               2.647437809303206E-14
0                                                 755                                               2.342129108565622E-14
0                                                 760                                               2.0942336440232344E-14
0                                                 765                                               1.8899364168465545E-14
0                                                 770                                               1.7193666913196683E-14
0                                                 775                                               1.5754372122211225E-14
0                                                 780                                               1.4526977807565227E-14
0                                                 785                                               1.3469779208856887E-14
0                                                 790                                               1.255075469035636E-14
0                                                 795                                               1.174514097384413E-14
0                                                 800                                               1.1033624303926455E-14
15                                                300                                               9.080997089163414E-15
15                                                305                                               9.050287478831388E-15
15                                                310                                               9.033473190375723E-15
15                                                315                                               9.002046138270871E-15
15                                                320                                               8.968315796740975E-15
15                                                325                                               9.042001555240434E-15
15                                                330                                               9.130604939249482E-15
15                                                335                                               9.15203250303984E-15
15                                                340                                               9.143583955617953E-15
15                                                345                                               9.118781978735773E-15
15                                                350                                               9.077228459208712E-15
15                                                355                                               9.045387939284554E-15
15                                                360                                               9.064927875018142E-15
15                                                365                                               9.085635325918239E-15
15                                                370                                               9.107315850781435E-15
15                                                375                                               9.12986987052728E-15
15                                                380                                               9.153407287350217E-15
15                                                385                                               9.147306010109248E-15
15                                                390                                               9.128325517854169E-15
15                                                395                                               9.109440867376919E-15
15                                                400                                               9.105100684198929E-15
15                                                405                                               9.114439274916551E-15
15                                                410                                               9.124173151308406E-15
15                                                415                                               9.134186437153924E-15
15                                                420                                               9.144366401993198E-15
